Sr_No,Location_Coordinates,Hospital_Name,Address_Original_First_Line,State,District,Pincode,Telephone,Website
9700,"52.984241, -1.486703",General Hospital,Opp Telephone Exchange,Haryana,Jhajjar,124103,0,0
9701,"28.7020499, 77.1871526",Memorial Health Centre / Pd Memorial General Hospital,Beri Road Near Stadium,Haryana,Jhajjar,124103,0,0
9702,"28.6830944, 77.0216684",Pushpa Hospital,"Delhi-Rohtak Road,Near Tehsil",Haryana,Jhajjar,124103,0,0
9703,NA,Rakesh Medicare Centre,Near Bus Stand,Haryana,Jhajjar,124103,0,0
9704,"28.6775351, 77.1598792",Shaili Nursing Home and U S Center,"Near Bus Stand , Rohtak Road",Haryana,Jhajjar,124103,0,0
9705,NA,Kaushik Hospital,"Jhajgarh Road, Near Shiv Chowk, Beri",Haryana,Jhajjar,124201,0,0
9706,"28.7013322, 76.5806097",Lifeline Medical Centre,"Near Bus Stand , Beri",Haryana,Jhajjar,124201,0,0
9707,NA,Shiva Hospital,"Main Delhi-Rohtak Road ,Behind Elysia Resetaurnat , Sampla",Haryana,Jhajjar,124501,0,0
9708,"28.7775769, 76.7711626",Tomar Medical Centre,"Near Petrol Pump, Opposite High School, Delhi Road, Sampla , Rohtak",Haryana,Jhajjar,124501,0,0
9709,"28.6036627, 76.9303751",Aastha Hospital U/O S K Aastha Hospital Pvt Ltd,"Main Najafgarh Road, Bahadurgarh",Haryana,Jhajjar,124507,0,0
9710,NA,Bhandari Nursing Home,Opp Bus Stand,Haryana,Jhajjar,124507,0,0
9711,"28.6924464, 76.9239727",Delhi Hospital and Nursing Home,"Main Delhi Road, Near Sainik Public School, Bahadurgarh",Haryana,Jhajjar,124507,0,0
9712,"28.6758469, 76.8951327",General Hospital,"Near Court, Bahadurgarh",Haryana,Jhajjar,124507,0,0
9713,"28.6896735, 76.9467108",Jeevan Jyoti Hospital,"Delhi-Rohtak Road, Mie, Bahadurgarh",Haryana,Jhajjar,124507,0,0
9714,"28.6931574, 76.9323604",Mamta Eye Clinic,"Model Town.Nahra Nahri Road,Bahadurgarh",Haryana,Jhajjar,124507,0,0
9715,"28.6924464, 76.9239727",Mata Sumitra Devi Hospital,"Near I.T.I  Road, Chhara Mor, Bahadurgarh",Haryana,Jhajjar,124507,0,0
9716,"28.6924464, 76.9239727",Mission Hospital,"Main Delhi-Rohtak Road, Near Main Bus Stand, Bahadurgarh",Haryana,Jhajjar,124507,0,0
9717,"28.6877686, 76.8908318",Pdm General Hospital / Pd Memorial General Hospital,"Sec-3A, Sarai Aurangabad, Bahadurgarh",Haryana,Jhajjar,124507,0,0
9718,"28.6924464, 76.9239727",Sri Rattan Singh Memorial Hospital,"Vatsa Colony, Main Nahra-Nahri Road, Line-Par, Bahadurgarh",Haryana,Jhajjar,124507,0,0
9719,"28.6931639, 76.9241418",Vandana Hospital and Research Center,"Bank Colony, Mahavir Park, Bahadurgarh",Haryana,Jhajjar,124507,0,0
9720,NA,Shivam Hospital,"Nahra-Nahri Road, Line Par",Haryana,Jhajjar,124507,0,www.shivamrrhospitals.com
9721,NA,Aastha Childrens Hospital,Green View Hotel Building Gohana Road,Haryana,Jind,126102,0,0
9722,"29.2948895, 76.3091646",Bal Dharmath Hospital/Bal Dharmarth Hospital,Bhiwani Road,Haryana,Jind,126102,0,0
9723,"29.2959438, 76.3343067",Balaji Hospital,Rohtak Road,Haryana,Jind,126102,0,0
9724,"29.3224574, 76.3416407",Ch. Hoshiar Singh Dalamwala Dharmarth Trust Hospital,Safidon Road,Haryana,Jind,126102,0,0
9725,NA,D. S. Dental and Oral Disease Clinic,"48, Adj Head Post Office, Vivekanand Nagar",Haryana,Jind,126102,0,0
9726,NA,Delhi Hospital And Maternity Home / Delhi Institute Of Trauma and Orthopaedics (Dito),"1151,Urban Estate Opp Courts",Haryana,Jind,126102,0,0
9727,"33.5190404, 73.9023417",Disha Mission Hospital,"Scheme No-19,House No-53-54,Near Main Post Office",Haryana,Jind,126102,0,0
9728,NA,Dr Shashi Sharma Maternity Hospital,"23/6, Gandhi Nagar, Opposite Bal Bhawan",Haryana,Jind,126102,0,0
9729,NA,Garg Heart and Child Care Centre,"Scheme No -6 ,Gohana Road",Haryana,Jind,126102,0,0
9730,NA,Goel Orthopaedic Centre,"Scf-15-16 ,Pwd B&R Store Land ,Opp Drda Gohana Road",Haryana,Jind,126102,0,0
9731,"29.3211153, 76.3058328",Gupta Maternity And General Hospital,Rohtaj Road,Haryana,Jind,126102,0,0
9732,NA,Jain Charitable Hospital / Jain Dharmarth Netar Chikatsalya,"Opp Bus Stand, Gohaana Road",Haryana,Jind,126102,0,0
9733,"29.3153515, 76.3188616",Jind Nursing Home,Near Rani Talab,Haryana,Jind,126102,0,0
9734,NA,Kharab Hospital,"Scf-29-30,t Shopping Centre,Huda Ground",Haryana,Jind,126102,0,0
9735,"29.2948895, 76.3091646",Kumar Maternity Home,Bhiwani Road,Haryana,Jind,126102,0,0
9736,"28.682095, 77.0512156",Laxmi Nursing Home,"Luxmi Nagar, Rohtak Road",Haryana,Jind,126102,0,0
9737,NA,Maharaja Agarsen Hospital / Maharaja Agrasen Hospital,"Opposite Bal Bhawan, Scheme No. 6",Haryana,Jind,126102,0,0
9738,"29.3211153, 76.3058328",Mahavir Hospital,Near Old Subzi Mandi,Haryana,Jind,126102,0,0
9739,"33.836081, -81.1637245",Mangla Hospital,"Sc Flat 2,3, Near Bank Of India, Scheme No.-6, Gandhi Nagar",Haryana,Jind,126102,0,0
9740,"29.3211153, 76.3058328",Maya Devi Hospital / Maya Medicare,Near New Subzi Mandi,Haryana,Jind,126102,0,0
9741,"30.8993149, 75.8455906",Minakshi Jain Hospital,"No. 54-5516, Gandhi Nagar,Near Bus Stand",Haryana,Jind,126102,0,0
9742,"20.012327, 73.785743",Nath Nursing Home,"Near S.D. High School,Sainath Road",Haryana,Jind,126102,0,0
9743,"28.6526354, 77.4528794",Nirmal Eye Hospital,173/19 Vivekanand Nagar,Haryana,Jind,126102,0,0
9744,NA,Ravindra Nursing Home and Maternity Centre,"Near Mandir More , Railway Road ,  Junction",Haryana,Jind,126102,0,0
9745,NA,Sachdeva Maternity and General Hospital,"Puran Vihar,Jagadhari",Haryana,Jind,126102,0,0
9746,NA,Sanjeevani Hospital,"Near Drda & Govt College, Gohana Road",Haryana,Jind,126102,0,0
9747,"29.3141324, 76.3164634",Shanti Bindlish Charitable Hospital,"Old Court Road,Near Rani Talab",Haryana,Jind,126102,0,0
9748,"28.682095, 77.0512156",Shanti Nursing Home,"Luxmi Nagar, Rohtak Road",Haryana,Jind,126102,0,0
9749,"29.4060653, 76.6614853",Civil Hospital,Safidon,Haryana,Jind,126112,0,0
9750,"29.4004122, 76.6608749",Sehrawat Hospital,"Railway Road, Safidon",Haryana,Jind,126112,0,0
9751,"29.5910963, 76.1145993",General Hospital,Narwana,Haryana,Jind,126116,0,0
9752,"29.5910963, 76.1145993",General Hospital Narwana,Narwana,Haryana,Jind,126116,0,0
9753,NA,Sarvodaya Hospital and I C U,"Nr. Hanuman Mandir, Jota Farm, Safidon Road",Haryana,Jind,126116,0,0
9754,"29.587566, 76.1238545",Shanti Simriti Eye And General Hospital,"Canal Road, Narwana",Haryana,Jind,126116,0,0
9755,"29.7856734, 76.3984537",Gangaputra Hospital and Research Centre,"Kaithal Road, Kandela",Haryana,Jind,126102,0,http://www.gangaputrahospital.com/
9756,"12.9831164, 80.2207518",Dr. Meenakshi Jain Hospital,"55/6, Gandhi Nagar, Near Telegraph Office",Haryana,Jind,126102,0,http://www.mjhospitaljind.com/
9757,"29.884133, 76.621062",Aarya Spiral Ct Scan Centre,Pehowa Road,Haryana,Kaithal,136027,0,0
9758,"30.3781788, 76.7766974",Bansal Hospital,Ambala Road Pehowa Chowk,Haryana,Kaithal,136027,0,0
9759,NA,Bharat Ortho Hospital,"Dhand Road, Near Chhotu Ram Chowk",Haryana,Kaithal,136027,0,0
9760,NA,Civil Hospital,"Circular Road, Kaitha",Haryana,Kaithal,136027,0,0
9761,"29.7963805, 76.42155",Dev Nursing Home,Karnal Road,Haryana,Kaithal,136027,0,0
9762,NA,Dr. V S Dhaka Heart Institute and Vikram Hospital,"Karnal Road, Nr Mitc Office",Haryana,Kaithal,136027,0,0
9763,NA,Ganpati Hospital,"Mitc Colony, Karnal Road",Haryana,Kaithal,136027,0,0
9764,NA,Ganpati Surgical and Trauma Hospital,"Near Bansal Hospital, Ambala Road",Haryana,Kaithal,136027,0,0
9765,"29.8163036, 76.4151866",Gupta Aankho Ka Aspatal,OppositeExis Bank Ambala Raod Kaihal,Haryana,Kaithal,136027,0,0
9766,"29.7856734, 76.3984537",Jain Maternity And Nursing Home,Kurukshtraroad,Haryana,Kaithal,136027,0,0
9767,NA,Jaipur Hospital,Opposite Jai School Karnal Road,Haryana,Kaithal,136027,0,0
9768,"29.8060396, 76.4107365",Jindal Child Care And Laboratory,Kurukshetra Road,Haryana,Kaithal,136027,0,0
9769,"29.8072108, 76.4110039",Kaithal Nursing Home,Ambala Road,Haryana,Kaithal,136027,0,0
9770,"29.7856734, 76.3984537",Kirti Hospital,Park Road,Haryana,Kaithal,136027,0,0
9771,"29.8072108, 76.4110039",Mittal Surgical and Maternity Hospital,Ambala Road,Haryana,Kaithal,136027,0,0
9772,NA,Raj Nursing Home,"Raj Nursing Home, Park Road",Haryana,Kaithal,136027,0,0
9773,"29.7856734, 76.3984537",Shah Hospital,Opp Bus Stand,Haryana,Kaithal,136027,0,0
9774,NA,Shree Jai Prakash Hospital / Shri Jai Prakash Hospital,"Opp:-Hdfc Bank, Ambala Road",Haryana,Kaithal,136027,0,0
9775,NA,Singhania Nursing Home,"Behind Lakhan Pal Hotel,Park Road",Haryana,Kaithal,136027,0,0
9776,"29.7963805, 76.42155",Singla Surgical Hospital,Karnal Road,Haryana,Kaithal,136027,0,0
9777,NA,Sood Eye and Maternity Hospital,"Near Palki Hotel, Ambala Road",Haryana,Kaithal,136027,0,0
9778,NA,Sood Maternity and Infertility Hospital,"Behind Rajdhoot Motor Cycle Agencies, Ambala Road",Haryana,Kaithal,136027,0,0
9779,"29.6758311, 77.0089452",Aditi Clinic and Kapoor Hospital,"1349, Sector 6",Haryana,Karnal,132001,0,0
9780,"20.9502428, 72.9186492",Ajmani General and Maternity Hospital,Opposite Civil Hospital,Haryana,Karnal,132001,0,0
9781,"30.7064709, 76.8562405",Amar Hospital,"1363-64, Sector-6, Urban Estate",Haryana,Karnal,132001,0,0
9782,NA,Amritdhara Hospital,Chaura Bazar,Haryana,Karnal,132001,0,0
9783,"29.9689992, 76.873699",Arora Eye and Lasik Laser Centre,"650, Sector-7, Urban Estate",Haryana,Karnal,132001,0,0
9784,NA,Arpana Hospital,Madhuban,Haryana,Karnal,132001,0,0
9785,NA,Arvind Children Hospital,"1,Duggal ColonyOpp Randhir Theatre",Haryana,Karnal,132001,0,0
9786,"17.389508, -62.7702373",Balaji Plastic Surgery and Burn Centre / Balaji Surya Hospital,"Near Church, Mall Road",Haryana,Karnal,132001,0,0
9787,NA,Bathla Psychiatric Hospital,"Near Randhir Cinema, Kutchery",Haryana,Karnal,132001,0,0
9788,NA,Batla Hospital,"Near Randhir Cinema, Hospital Chowk",Haryana,Karnal,132001,0,0
9789,NA,Bhatia Orthopaedic Centre,Doctors LaneKunjpura RoadNear Randhir Cinema,Haryana,Karnal,132001,0,0
9790,NA,Bhatnagar Eye Care Centre,Civil Hospital Road  Opposite Civil Hosp,Haryana,Karnal,132001,0,0
9791,"28.592126, 77.228974",Brain and Spine Hospital,Near Dyal Singh College,Haryana,Karnal,132001,0,0
9792,"28.4524631, 77.0543486",Chaudry Medical And Maternity Hospital / Chaudhry Medical and Maternity Hospital,"1543-44, Sector - 13, Urban Estate",Haryana,Karnal,132001,0,0
9793,NA,Child Care Centre,"19/227,Arjun Nagar,Link Road,OppositeBus Stand(Near Heena Banquet Hall)",Haryana,Karnal,132001,0,0
9794,"29.698219, 77.0038033",Children`S Nursing Home,"2235, Sector 13, Urban Estate",Haryana,Karnal,132001,0,0
9795,"29.7025136, 76.993243",City Orthopaedic Hospital / City Orthopadic and Trauma Hospital,"Char Chaman, Kunjpura Road",Haryana,Karnal,132001,0,0
9796,NA,Dr Pasricha Memorial Eye And Dental Hospital,"77 Dyal Singh Colony,Opp Dyal Singh Public School",Haryana,Karnal,132001,0,0
9797,NA,Dr. Ashok Gupta Hospital,Ashoka Colony,Haryana,Karnal,132001,0,0
9798,"28.470555, 77.0147896",Dr. Balbir Nursing Home,"28, Sector, 14, Urban Estate",Haryana,Karnal,132001,0,0
9799,NA,Dr. Sandeep Chaudhri,"368-B,Randhir Lane,Opposite Police Lines",Haryana,Karnal,132001,0,0
9800,"29.698219, 77.0038033",Dr. Shyamal Sen Child Spwcialist and Neonatoligist,"2235-2236,Sec 13, Urban Estate",Haryana,Karnal,132001,0,0
9801,"28.4708741, 77.0149986",Giridhar Hospital,"33,Sector-14,Urban Estate",Haryana,Karnal,132001,0,0
9802,NA,Gupta Orthopaedic Hospital,Ashoka ColonyRandhir Lane,Haryana,Karnal,132001,0,0
9803,"28.4708316, 77.0149075",Haryana Nursing Home-I,"32/14 Sector,Urban Estate",Haryana,Karnal,132001,0,0
9804,NA,Jagdamba Hospital,Budhram Ki Tall Near Subzi Mandi Petrol Pump G T Road,Haryana,Karnal,132001,0,0
9805,NA,Janseva Hospital,"Near Degree College, Behind Power House, Kanina",Haryana,Karnal,132001,0,0
9806,"29.7037023, 76.9958644",Kakkar Eye Hospital /Kakar Eye Hospital,"Kuncjpura Road, Model Town",Haryana,Karnal,132001,0,0
9807,"28.467897, 77.006888",Kamal Hospital,"673, Sector-13, Urban Estate",Haryana,Karnal,132001,0,0
9808,"20.9502428, 72.9186492",Krishna Hospital (Karnal),OppositeCivil Hospital,Haryana,Karnal,132001,0,0
9809,"30.7076608, 76.8446178",Life Care Hospital,"Sector-7, Urban Estate, Near Community Centre",Haryana,Karnal,132001,0,0
9810,"29.9205412, 73.8841725",Luthra Clinic,"1833/6, Housin Board Colony",Haryana,Karnal,132001,0,0
9811,NA,Meenakshi Hospital and Maternity Centre,"Sector 3, House No-43, Choudhary Factory, Near Rupnagar Hanuman Garh",Haryana,Karnal,132001,0,0
9812,NA,Miglani Nursing Home,Old Kunj Pura Road,Haryana,Karnal,132001,0,0
9813,NA,Mittal Chest Hospital,Near Police Line,Haryana,Karnal,132001,0,0
9814,"29.7109366, 77.013356",Monga Nursing Home,Kunjpura Road,Haryana,Karnal,132001,0,0
9815,NA,"Navjeevan Hospital, Nirmal Market, Karnal",Nirmal Market,Haryana,Karnal,132001,0,0
9816,NA,Neera Nursing Home,Janaili Colony,Haryana,Karnal,132001,0,0
9817,NA,New Apollo Hospital,"811/13, Urban Estate, Near Prakash Public School",Haryana,Karnal,132001,0,0
9818,"29.6758311, 77.0089452",Noor Medical Centre,"218, Sector- 6",Haryana,Karnal,132001,0,0
9819,"32.2732942, 75.6508282",Om Prakash Goel Medicare,Near Ramlila Ground Railway Road,Haryana,Karnal,132001,0,0
9820,NA,"P R Phospital, Kidney Center",Civil Hospital Road,Haryana,Karnal,132001,0,0
9821,NA,Paras Nursing Home,Main MarketSector-7 (Adjoining Gurudwara ),Haryana,Karnal,132001,0,0
9822,NA,Parveen Hospital Pvt.Ltd.,786 Jernaily Kothi Dyal Singh College Road,Haryana,Karnal,132001,0,0
9823,NA,Raj Clinic,"OppositeSanatan Dharam Mandir,Ram Nagar",Haryana,Karnal,132001,0,0
9824,NA,Ranjana Polyclinic,1185Sector-7,Haryana,Karnal,132001,0,0
9825,NA,S. N. Medical Centre,"319, Old Housing Board, Opp Sec-12, Market",Haryana,Karnal,132001,0,0
9826,NA,Sachdeva Hospital,Sector 12 Near Melaram School,Haryana,Karnal,132001,0,0
9827,NA,Sanatam Dharam Mahavir Dal Hospital,Mandir Marg,Haryana,Karnal,132001,0,0
9828,NA,Sandeep Nursing Home and Heart Care Center,"Randhirlane, OppositePolicelines",Haryana,Karnal,132001,0,0
9829,NA,Sanjeevani Hospital,Hansi Road Chowk,Haryana,Karnal,132001,0,0
9830,NA,Saraswati Netaralaya,"Randhir Lane, OppositeDayal Singh College",Haryana,Karnal,132001,0,0
9831,NA,Saraswati Nethralaya,"Inside Dr. Ashok Gupta Hospital,Ashoka Colony",Haryana,Karnal,132001,0,0
9832,NA,Seth Hospital,1- Nirmal Colony Behind Mela Ram School,Haryana,Karnal,132001,0,0
9833,"28.4721846, 77.0156836",Sh. Moolchand Kidney Hospital and Urological Institute,"1075-76, Sector -13, Urban Estate",Haryana,Karnal,132001,0,0
9834,NA,Sh. S.D Mahabir Dal Hospital,"Mandir Marg,Kunjpura Road",Haryana,Karnal,132001,0,0
9835,NA,Shree Hari Hospital / Shree Hari Om Hospital,"# 48, Jernaily Colony, Opposite Civil Hospital",Haryana,Karnal,132001,0,0
9836,NA,Shri Sanatan Dharam Mahabir Dal,"Mandir Marg, Kunjpura Road",Haryana,Karnal,132001,0,0
9837,"29.6957862, 77.0057059",Singla Children and Maternity Hospital,Urban Estate,Haryana,Karnal,132001,0,0
9838,NA,Sood General and Maternity Hospital,(Near Truck Union) Meerut Road,Haryana,Karnal,132001,0,0
9839,"10.927477, 79.8382923",Sugam Priya Hospital,"Prabhu Nagar,Kamarajar Salai",Haryana,Karnal,132001,0,0
9840,NA,Surya Hospital,"OppositeChandranchal Banquet Hall, Purshotam Garden, Kunjpura Road",Haryana,Karnal,132001,0,0
9841,"29.1385929, 75.7410228",Sushil Garg Hospital / Sushil Garg Eye and Maternity Hospital,"1942-43, Sec-13, Urban Estate",Haryana,Karnal,132001,0,0
9842,NA,Thakur Eye And Maternity Hospital,Near Post Office Kunjpur Road,Haryana,Karnal,132001,0,0
9843,"28.4752536, 77.0090802",Thakur Hospital,"No. 40/14, Urban Estate",Haryana,Karnal,132001,0,0
9844,"30.678704, 76.844589",Uttam Clinic and Hospital,"37, Sector 14, Urban Estate",Haryana,Karnal,132001,0,0
9845,NA,Virk Hospital,363 Randhilre Lane Near Dayal Singh Collage,Haryana,Karnal,132001,0,0
9846,"29.6911901, 76.9916675",Virmani Ayurveda Panchkarma Chikitsakyam Holyayu,95 Dyal Singh Colony,Haryana,Karnal,132001,0,0
9847,NA,Bharti Hospital,"Wazir Chand Colony,Kunjpura Road",Haryana,Karnal,132022,0,0
9848,"29.7109366, 77.013356",Dr. Gain Bhushan Nursing Home and Heart Centre,Kunjpura Road,Haryana,Karnal,132022,0,0
9849,"29.5394553, 76.9693845",Alka Hospital,"Railway Road, Gharounda",Haryana,Karnal,132114,0,0
9850,"29.491854, 76.9628658",Mata Kalawati Cheritable Hospital,V.P.O Kohand,Haryana,Karnal,132114,0,0
9851,"29.8390474, 76.9304107",Parnami Nursing Home,Nilokheri,Haryana,Karnal,132117,0,0
9852,Error,Nav Jyoti Hospital,"Karsa Road, Nigdhu,Karna",Haryana,Karnal,132157,0,0
9853,"29.9689992, 76.873699",Arora Eye and Lasik Laser Centre,"650, Sector- 7, Urban State",Haryana,Karnal,132001,0,http://aroraeyecentre.com/
9854,"29.6956184, 76.9914875",Karnal Nursing Home,"26, Duggal Colony",Haryana,Karnal,132001,0,http://www.drvksingla.com/contact-us
9855,"28.5685947, 77.1721518","Life Care Hospital, Karnal","Main Market, Sector 7",Haryana,Karnal,132001,0,http://lifecarekarnal.com/
9856,NA,"Dr. Om Parkash Goel Medicare, Karnal","6, Jain Market, Near Ram Lila Ground, Railway Road",Haryana,Karnal,132001,0,http://www.doctoranandgoel.com/
9857,"29.9702709, 76.8736988",Tagore Hospital,"H N- 7, Sector, Urban Estate",Haryana,Karnal,132001,0,http://www.tagorehospital.co.nr/
9858,"30.678704, 76.844589",R P Stone Clinic Pvt.Ltd..Karnal,"37-38, Sector-14, Urban Estate",Haryana,Karnal,132001,0,http://www.rpstoneclinic.com/
9859,NA,Guru Nanak Hospital,"OppositePolice Lines, Near Dyal Singh College",Haryana,Karnal,132001,0,http://gurunanakhospitalkarnal.com/
9860,"29.9575988, 76.8811255",Agarwal Nursing Home,Salarpur Road,Haryana,Kurukshetra,136118,0,0
9861,"29.9706785, 76.8382204",Ahuja Hospital,Sector-17,Haryana,Kurukshetra,136118,0,0
9862,NA,Anand Orthopaedic Centre,"Opposite Theme Park, Pehwa Road",Haryana,Kurukshetra,136118,0,0
9863,NA,Anand Orthopaedic Hospital,"Red Road Balmik Market, Opp Thangeshwar",Haryana,Kurukshetra,136118,0,0
9864,NA,Ankur Nursing Home,,Haryana,Kurukshetra,136118,0,0
9865,NA,Apna Hospital,Red RoadBehind Paras Cinema,Haryana,Kurukshetra,136118,0,0
9866,NA,Ashirwad Nursing Home,,Haryana,Kurukshetra,136118,0,0
9867,"29.9667311, 76.87642",Atul Clinic,"105/13, Urban Estate",Haryana,Kurukshetra,136118,0,0
9868,NA,Bansal Hospital,Near Ban Chungi Ladwa,Haryana,Kurukshetra,136118,0,0
9869,NA,Bhardwaj Maternity and Children Hospital,"Agarsain Chowk, Pipli Road",Haryana,Kurukshetra,136118,0,0
9870,"30.0536751, 77.0053625",Bhaskar Medicare Hospital,"507/10, Ladwa Road",Haryana,Kurukshetra,136118,0,0
9871,NA,Bhola Orthopaedics and Dental Hospital,Secctor - 17 (New Arya Samaj Market) Nr. Indane Gas Agency Railway Road,Haryana,Kurukshetra,136118,0,0
9872,NA,Chandra Bawasir Hospital,"Sco-181, Sec-17(City Centre), Purane Adde Ke Samne",Haryana,Kurukshetra,136118,0,0
9873,NA,Chauhan Eye and Maternity Hospital,"Opposite rict Jail,126,Swctor-5,Urban Estate",Haryana,Kurukshetra,136118,0,0
9874,"27.6441382, 79.9447096",Community Health Centre,"Community Health Centre, Shahabad",Haryana,Kurukshetra,136118,0,0
9875,"22.6891947, 75.8330591",Gaur Nursing Home,"Gaur Enclave,Sudama Nagar",Haryana,Kurukshetra,136118,0,0
9876,NA,Gita Hospital,"Gita Colony , Near Veterynary Hospital ,Red Road",Haryana,Kurukshetra,136118,0,0
9877,NA,J P Hospital,"Balmik Market, Near Civil Hospital",Haryana,Kurukshetra,136118,0,0
9878,"29.9642538, 76.9114727",Kurukshetra Nursing Home / Kurushetra Nursing Home,Pipli Road,Haryana,Kurukshetra,136118,0,0
9879,"29.1385929, 75.7410228",Lamba Eye Centre,"H.N.-597, Sec.-5, Urban Estate",Haryana,Kurukshetra,136118,0,0
9880,"13.7436096, 76.9021004",Mehta Surgical and Maternity Hospital,"Near Old Bus Stand, Jyotinagar",Haryana,Kurukshetra,136118,0,0
9881,NA,Nagpal Nursing Home and Maternity Home,Red Road,Haryana,Kurukshetra,136118,0,0
9882,NA,Naveen Nursing Home,"Naveen Nursing Home, Ajrana Kalan, Jhansa Road",Haryana,Kurukshetra,136118,0,0
9883,NA,Pawan Surgical Hospital,Red Road,Haryana,Kurukshetra,136118,0,0
9884,NA,Radhakishan Children Hospital,"Jyoti Nagar,Red Road",Haryana,Kurukshetra,136118,0,0
9885,NA,Ritu Nursing Home,Jhansa Road,Haryana,Kurukshetra,136118,0,0
9886,"28.4717634, 77.0170436",Saini Eye Care Centre,"2/8, Sector -7, Urban Estate",Haryana,Kurukshetra,136118,0,0
9887,"29.9960274, 77.0446062",Sanjay Hospital,"Lohat, Ladwa",Haryana,Kurukshetra,136118,0,0
9888,NA,Satya Nursing and Maternity Home,Pipli RoadNear New Bus Stand,Haryana,Kurukshetra,136118,0,0
9889,NA,Sethi Nursing Home,Red Road Near Neelam Cinema,Haryana,Kurukshetra,136118,0,0
9890,NA,Shri Ram Charitable Eye Hospital,Railway Road Opposite Geeta High School,Haryana,Kurukshetra,136118,0,0
9891,NA,Shri Swami Anant Prakashanand Memorial Dharmarth,"Eye & E.N.T. Hospital, Anant Marg, Rajinder Nagar",Haryana,Kurukshetra,136118,0,0
9892,NA,Sobti Nursing Home,Red Road,Haryana,Kurukshetra,136118,0,0
9893,NA,Soni Orthopaedic and Surgical Hospital,Pipli Road Near New Telephone Exchange,Haryana,Kurukshetra,136118,0,0
9894,"29.9814167, 76.5892774",Bandlas Nursing Home,Pehowa Pehowa Pehowa,Haryana,Kurukshetra,136128,0,0
9895,NA,Garg Nursing Home,"J P Colony,Ambala RoadPehwa",Haryana,Kurukshetra,136128,0,0
9896,NA,Mohindru Hospital and Orthopaedic Centre,Near Civil Hospital,Haryana,Kurukshetra,136128,0,0
9897,NA,Saraswati Mashal Eye Hospital,"J P Colony,Ambala RoadPehwa",Haryana,Kurukshetra,136128,0,0
9898,"29.9819627, 76.5860662",Saraswati Mission Hospital / Saraswati Polyclinic Hospital and Diagnostic Centre,"Ambala Road Kurkshetra, Pehowa",Haryana,Kurukshetra,136128,0,0
9899,NA,Dr. Har Bhagwan Memorial Hospital,"Main Road Near Bus Stand,P.O. Ladwa",Haryana,Kurukshetra,136132,0,0
9900,"29.9960274, 77.0446062",Radha Krishan Hospital,Pipli Road Ladwa,Haryana,Kurukshetra,136132,0,0
9901,"29.9957531, 77.048798",Saini Children Hospital,"Indri Chowk, Ladwa",Haryana,Kurukshetra,136132,0,0
9902,NA,Suri Hospital,Near Bus Stand,Haryana,Kurukshetra,136132,0,0
9903,"30.15764, 76.8766024",Gaur Maternity and Surgical Hospital,Ladwa Road Shahbad,Haryana,Kurukshetra,136135,0,0
9904,"30.1672152, 76.8683714",Healing Home,Devi Mandir Road Shahabad Markanda,Haryana,Kurukshetra,136135,0,0
9905,"30.0536751, 77.0053625",Jeevan Jyoti Children Hospital,Ladwa Road Shahabad,Haryana,Kurukshetra,136135,0,0
9906,"30.15764, 76.8766024",Landmark Hospital,Ladwa Road Shahbad,Haryana,Kurukshetra,136135,0,0
9907,"30.1672152, 76.8683714",Wadhwa Nursing Home,"Barara Road Near Mal Mandi , Shahabad Markanda",Haryana,Kurukshetra,136135,0,0
9908,"30.15764, 76.8766024",Sidharth Hospital,"Ladwa Road, Shahbad Markanda",Haryana,Kurukshetra,133001,0,http://sidharthhospital.in/
9909,"30.0885435, 76.5474705",Saraswati Mission Hospital,Ambala Road Pehowa,Haryana,Kurukshetra,136128,0,http://saraswatimissiongroup.com/
9910,"28.147701, 76.2210794",Agarwal Nursing Home and Alpha Diagnostic Center,"Shekhpura Turn, Mahendergarh Road, Narnaul",Haryana,Mahendragarh,123001,0,0
9911,"28.0657961, 76.1014781",Bishnoi Hospital,"Near Sadar Thana,Narnaul",Haryana,Mahendragarh,123001,0,0
9912,"28.147701, 76.2210794",Children Hospital and Maternity Home,"Opposite New Court Circle , Shiv Colony Mahendergarh Road,Narnaul",Haryana,Mahendragarh,123001,0,0
9913,"28.0657961, 76.1014781",Civil Hospital,"Bahore Road , Opp Agarwal Sabha,Narnaul",Haryana,Mahendragarh,123001,0,0
9914,"26.8676942, 81.0144196",Dr Fateh Singh Hospital,"Railway Road, Nizampur, Mandi",Haryana,Mahendragarh,123001,0,0
9915,"28.0657961, 76.1014781",Dr. Maharaj Kr. Goel,Hn 6/7 Rewani Rd Narnaul,Haryana,Mahendragarh,123001,0,0
9916,NA,Getwell Hospital,"Mohindergarh Road, Opposite Power House, Narnol",Haryana,Mahendragarh,123001,0,0
9917,"28.147701, 76.2210794",Goyal Eye Hospital,"Mahavir Chowk Mahendergarh Road, Narnaul",Haryana,Mahendragarh,123001,0,0
9918,"28.8254971, 76.3907624",Harsh Hospital,"New Bus Stand, Kalanaur",Haryana,Mahendragarh,123001,0,0
9919,"28.2006666, 76.5907109",Hemant Hospital,"Mahendergarh Road, Shastri Nagar",Haryana,Mahendragarh,123001,0,0
9920,NA,Makkar Hospital and Nursing Home,Near Old Courts Raod,Haryana,Mahendragarh,123001,0,0
